Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,Explicit Track,Year
Million Dollar Baby,Million Dollar Baby - Single,Tommy Richman,2024-04-26,1,725.4,475642947.0,153027.0,188416011.0,92.0,0,2024
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,2,545.9,670778477.0,246536.0,148257413.0,92.0,1,2024
I Like The Way You Kiss Me,I Like The Way You Kiss Me,Artemas,2024-03-19,3,538.4,301456161.0,210319.0,217979658.0,92.0,0,2024
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,4,444.9,1388146768.0,51739.0,182315599.0,85.0,0,2023
Houdini,Houdini,Eminem,2024-05-31,5,423.3,1369648949.0,76324.0,135623896.0,88.0,1,2024
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,6,410.1,1606269749.0,104592.0,139548346.0,83.0,1,2023
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,7,407.2,2000122261.0,146919.0,172118468.0,86.0,0,2024
Gata Only,Gata Only,Floyymenor,2024-02-02,8,375.8,1149042155.0,226189.0,181540768.0,92.0,1,2024
Band4Band (Feat. Lil Baby),Band4Band (Feat. Lil Baby),Central Cee,2024-05-23,10,330.6,1223584216.0,27377.0,146991187.0,86.0,1,2024
I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,11,322.1,563169632.0,99697.0,168361737.0,91.0,1,2024
The Door,The Door,Teddy Swims,2024-06-14,12,320.2,1848617376.0,2.0,190809907.0,90.0,1,2024
Lunch,Hit Me Hard And Soft,Billie Eilish,2024-05-17,13,316.3,618682088.0,228779.0,186517051.0,92.0,0,2024
Like That,We Don'T Trust You,Future,2024-03-22,14,308.2,1959234168.0,60341.0,135660866.0,88.0,1,2024
Bathroom Floor,Bathroom Floor,Kids With Buns,2022-10-07,15,301.6,1428049737.0,277.0,146038704.0,12.0,0,2022
Lala,Lala - Single,Myke Towers,2023-03-22,16,299.9,871956640.0,109969.0,131490446.0,79.0,1,2023
Fortnight (Feat. Post Malone),The Tortured Poets Department,Taylor Swift,2024-04-18,17,297.6,750109887.0,27905.0,187704964.0,89.0,0,2024
Greedy,Greedy,Tate Mcrae,2023-09-14,18,293.7,1576356885.0,254911.0,141162606.0,87.0,1,2023
Blue,Hit Me Hard And Soft,Billie Eilish,2024-05-17,19,292.6,1761086538.0,113677.0,184576644.0,86.0,0,2024
As It Was,As It Was,Harry Styles,2022-03-31,20,292.0,1117942493.0,220736.0,146017609.0,87.0,0,2022
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,21,290.5,1897185607.0,152909.0,156640821.0,78.0,1,2023
Espresso,Espresso,Sabrina Carpenter,2024-04-12,22,281.5,1157685994.0,153212.0,215950743.0,95.0,1,2024
Danza Kuduro - Cover,Club De Yokukiku Yougaku Medley,Music Lab Jpn,2024-05-21,23,279.0,2053325418.0,10.0,655.0,94.0,1,2024
Texas Hold 'Em,Texas Hold 'Em,BeyoncÃÂ¯ÃÂ¿,2024-02-10,24,278.9,1468166029.0,170535.0,202364487.0,86.0,1,2024
Future,Future,Official Sound Studio,2024-01-10,25,277.5,446077907.0,1.0,2.0,89.0,0,2024
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,Wz Beat,2022-05-24,26,268.1,1217927767.0,64873.0,153454556.0,35.0,0,2022
Stay (With Justin Bieber),Stay (With Justin Bieber),The Kid Laroi,2021-07-09,27,266.3,2012366334.0,184030.0,184999202.0,78.0,1,2021
We Can'T Be Friends (Wait For Your Love),Eternal Sunshine,Ariana Grande,2024-03-08,29,262.8,432010530.0,172555.0,185197727.0,87.0,0,2024
Numb / Encore,Papercuts,Jay-Z,2024-04-12,30,256.0,1530649683.0,128.0,150839684.0,89.0,1,2024
Sheesh,Babymons7Er,Babymonster,2024-04-01,32,237.5,860343558.0,155068.0,199858685.0,82.0,0,2024
Water,Water,Tyla,2023-07-28,33,234.6,1405807428.0,98373.0,208093958.0,83.0,0,2023
Strangers,Strangers,Kenya Grace,2023-09-01,34,233.5,354618700.0,29112.0,203916129.0,79.0,0,2023
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,35,231.6,968660533.0,266806.0,135117125.0,86.0,0,2024
What'S Love Got To Do With It - 2023 Remaster,What'S Love Got To Do With It (30Th Anniversary Deluxe Edition),Tina Turner,2024-04-26,36,230.0,1470573473.0,7.0,161307935.0,92.0,0,2024
